date,homeTeam,awayTeam,homeScore,awayScore,matchResult,homeCode,awayCode,dayCode,target,season,homeGoalsForSum,homeGoalsAgainstSum,awayGoalsForSum,awayGoalsAgainstSum,homeWinRateRolling3,awayWinRateRolling3,homeWinRateRolling5,awayWinRateRolling5,homeWinRateRolling10,awayWinRateRolling10,homeWinRateExpanding,awayWinRateExpanding,homePoints,awayPoints,homeTotalPoints,awayTotalPoints,homeAvgGoalsFor,homeAvgGoalsAgainst,awayAvgGoalsFor,awayAvgGoalsAgainst,homeTotalWins,homeTotalLosses,homeTotalDraws,awayTotalWins,awayTotalLosses,awayTotalDraws
2022-08-12,Osasuna,Sevilla,2.0,1.0,H,0,11,4,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-13,Celta,Espanyol,2.0,2.0,D,1,10,5,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-13,Valladolid,Villarreal,0.0,3.0,A,2,19,5,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-13,FC Barcelona,Rayo Vallecano,0.0,0.0,D,3,17,5,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-14,Cadiz,Real Sociedad,0.0,1.0,A,4,14,6,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-14,Valencia,Girona,1.0,0.0,H,5,16,6,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-14,Almeria,Real Madrid,1.0,2.0,A,6,18,6,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-15,Ath Bilbao,Mallorca,0.0,0.0,D,7,12,0,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-15,Getafe,Ath Madrid,0.0,3.0,A,8,13,0,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-15,Real Betis,Elche,3.0,0.0,H,9,15,0,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022-08-19,Espanyol,Rayo Vallecano,0.0,2.0,A,10,17,4,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,1,2.0,2.0,0.0,0.0,0,0,1,0,0,1
2022-08-19,Sevilla,Valladolid,1.0,1.0,D,11,2,4,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1.0,2.0,0.0,3.0,0,1,0,0,1,0
2022-08-20,Osasuna,Cadiz,2.0,0.0,H,0,4,5,1,2022,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0,3,0,2.0,1.0,0.0,1.0,1,0,0,0,1,0
2022-08-20,Mallorca,Real Betis,1.0,2.0,A,12,9,5,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,3,0.0,0.0,3.0,0.0,0,0,1,1,0,0
2022-08-20,Celta,Real Madrid,1.0,4.0,A,1,18,5,2,2022,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,3,1,3,2.0,2.0,2.0,1.0,0,0,1,1,0,0
