date,homeTeam,awayTeam,homeScore,awayScore,matchResult
2025-08-15,Girona,Rayo Vallecano,1.0,3.0,A
2025-08-15,Villarreal,Real Oviedo,2.0,0.0,H
2025-08-16,Mallorca,FC Barcelona,0.0,3.0,A
2025-08-16,Alaves,Levante,2.0,1.0,H
2025-08-16,Valencia,Real Sociedad,1.0,1.0,D
2025-08-17,Celta,Getafe,0.0,2.0,A
2025-08-17,Ath Bilbao,Sevilla,3.0,2.0,H
2025-08-17,Espanyol,Ath Madrid,2.0,1.0,H
2025-08-18,Elche,Real Betis,1.0,1.0,D
2025-08-19,Real Madrid,Osasuna,1.0,0.0,H
2025-08-22,Real Betis,Alaves,1.0,0.0,H
2025-08-23,Mallorca,Celta,1.0,1.0,D
2025-08-23,Ath Madrid,Elche,1.0,1.0,D
2025-08-23,Levante,FC Barcelona,2.0,3.0,A
2025-08-24,Osasuna,Valencia,1.0,0.0,H
2025-08-24,Real Sociedad,Espanyol,2.0,2.0,D
2025-08-24,Villarreal,Girona,5.0,0.0,H
2025-08-24,Real Oviedo,Real Madrid,0.0,3.0,A
2025-08-25,Ath Bilbao,Rayo Vallecano,1.0,0.0,H
2025-08-25,Sevilla,Getafe,1.0,2.0,A
2025-08-27,Celta,Real Betis,1.0,1.0,D
2025-08-29,Elche,Levante,2.0,0.0,H
2025-08-29,Valencia,Getafe,3.0,0.0,H
2025-08-30,Alaves,Ath Madrid,1.0,1.0,D
2025-08-30,Real Oviedo,Real Sociedad,1.0,0.0,H
2025-08-30,Girona,Sevilla,0.0,2.0,A
2025-08-30,Real Madrid,Mallorca,2.0,1.0,H
2025-08-31,Celta,Villarreal,1.0,1.0,D
2025-08-31,Real Betis,Ath Bilbao,1.0,2.0,A
2025-08-31,Espanyol,Osasuna,1.0,0.0,H
2025-08-31,Rayo Vallecano,FC Barcelona,1.0,1.0,D
2025-09-12,Sevilla,Elche,2.0,2.0,D
2025-09-13,Getafe,Real Oviedo,2.0,0.0,H
2025-09-13,Real Sociedad,Real Madrid,1.0,2.0,A
2025-09-13,Ath Bilbao,Alaves,0.0,1.0,A
2025-09-13,Ath Madrid,Villarreal,2.0,0.0,H
2025-09-14,Celta,Girona,1.0,1.0,D
2025-09-14,Levante,Real Betis,2.0,2.0,D
2025-09-14,Osasuna,Rayo Vallecano,2.0,0.0,H
2025-09-14,FC Barcelona,Valencia,6.0,0.0,H
2025-09-15,Espanyol,Mallorca,3.0,2.0,H
2025-09-19,Real Betis,Real Sociedad,3.0,1.0,H
2025-09-20,Girona,Levante,0.0,4.0,A
2025-09-20,Real Madrid,Espanyol,2.0,0.0,H
2025-09-20,Villarreal,Osasuna,2.0,1.0,H
2025-09-20,Alaves,Sevilla,1.0,2.0,A
2025-09-20,Valencia,Ath Bilbao,2.0,0.0,H
2025-09-21,Rayo Vallecano,Celta,1.0,1.0,D
2025-09-21,Mallorca,Ath Madrid,1.0,1.0,D
2025-09-21,Elche,Real Oviedo,1.0,0.0,H
2025-09-21,FC Barcelona,Getafe,3.0,0.0,H
2025-09-23,Ath Bilbao,Girona,1.0,1.0,D
2025-09-23,Espanyol,Valencia,2.0,2.0,D
2025-09-23,Levante,Real Madrid,1.0,4.0,A
2025-09-23,Sevilla,Villarreal,1.0,2.0,A
2025-09-24,Getafe,Alaves,1.0,1.0,D
2025-09-24,Ath Madrid,Rayo Vallecano,3.0,2.0,H
2025-09-24,Real Sociedad,Mallorca,1.0,0.0,H
2025-09-25,Osasuna,Elche,1.0,1.0,D
2025-09-25,Real Oviedo,FC Barcelona,1.0,3.0,A
2025-09-26,Girona,Espanyol,0.0,0.0,D
2025-09-27,Getafe,Levante,1.0,1.0,D
2025-09-27,Ath Madrid,Real Madrid,5.0,2.0,H
2025-09-27,Mallorca,Alaves,1.0,0.0,H
2025-09-27,Villarreal,Ath Bilbao,1.0,0.0,H
2025-09-28,Rayo Vallecano,Sevilla,0.0,1.0,A
2025-09-28,Elche,Celta,2.0,1.0,H
2025-09-28,FC Barcelona,Real Sociedad,2.0,1.0,H
2025-09-28,Real Betis,Osasuna,2.0,0.0,H
