date,homeTeam,awayTeam,homeScore,awayScore,matchResult
12/08/2022,Osasuna,Sevilla,2,1,H
13/08/2022,Celta,Espanol,2,2,D
13/08/2022,Valladolid,Villarreal,0,3,A
13/08/2022,Barcelona,Vallecano,0,0,D
14/08/2022,Cadiz,Sociedad,0,1,A
14/08/2022,Valencia,Girona,1,0,H
14/08/2022,Almeria,Real Madrid,1,2,A
15/08/2022,Ath Bilbao,Mallorca,0,0,D
15/08/2022,Getafe,Ath Madrid,0,3,A
15/08/2022,Betis,Elche,3,0,H
19/08/2022,Espanol,Vallecano,0,2,A
19/08/2022,Sevilla,Valladolid,1,1,D
20/08/2022,Osasuna,Cadiz,2,0,H
20/08/2022,Mallorca,Betis,1,2,A
20/08/2022,Celta,Real Madrid,1,4,A
21/08/2022,Ath Bilbao,Valencia,1,0,H
21/08/2022,Ath Madrid,Villarreal,0,2,A
21/08/2022,Sociedad,Barcelona,1,4,A
22/08/2022,Elche,Almeria,1,1,D
22/08/2022,Girona,Getafe,3,1,H
26/08/2022,Girona,Celta,0,1,A
26/08/2022,Betis,Osasuna,1,0,H
27/08/2022,Elche,Sociedad,0,1,A
27/08/2022,Vallecano,Mallorca,0,2,A
27/08/2022,Almeria,Sevilla,2,1,H
28/08/2022,Getafe,Villarreal,0,0,D
28/08/2022,Barcelona,Valladolid,4,0,H
28/08/2022,Espanol,Real Madrid,1,3,A
29/08/2022,Cadiz,Ath Bilbao,0,4,A
29/08/2022,Valencia,Ath Madrid,0,1,A
02/09/2022,Celta,Cadiz,3,0,H
03/09/2022,Mallorca,Girona,1,1,D
03/09/2022,Real Madrid,Betis,2,1,H
03/09/2022,Sociedad,Ath Madrid,1,1,D
03/09/2022,Sevilla,Barcelona,0,3,A
04/09/2022,Osasuna,Vallecano,2,1,H
04/09/2022,Ath Bilbao,Espanol,0,1,A
04/09/2022,Villarreal,Elche,4,0,H
04/09/2022,Valencia,Getafe,5,1,H
05/09/2022,Valladolid,Almeria,1,0,H
09/09/2022,Girona,Valladolid,2,1,H
10/09/2022,Vallecano,Valencia,2,1,H
10/09/2022,Espanol,Sevilla,2,3,A
10/09/2022,Cadiz,Barcelona,0,4,A
10/09/2022,Ath Madrid,Celta,4,1,H
11/09/2022,Real Madrid,Mallorca,4,1,H
11/09/2022,Elche,Ath Bilbao,1,4,A
11/09/2022,Getafe,Sociedad,2,1,H
11/09/2022,Betis,Villarreal,1,0,H
12/09/2022,Almeria,Osasuna,0,1,A
16/09/2022,Valladolid,Cadiz,0,1,A
17/09/2022,Mallorca,Almeria,1,0,H
17/09/2022,Barcelona,Elche,3,0,H
17/09/2022,Valencia,Celta,3,0,H
17/09/2022,Ath Bilbao,Vallecano,3,2,H
18/09/2022,Osasuna,Getafe,0,2,A
18/09/2022,Villarreal,Sevilla,1,1,D
18/09/2022,Betis,Girona,2,1,H
18/09/2022,Sociedad,Espanol,2,1,H
18/09/2022,Ath Madrid,Real Madrid,1,2,A
30/09/2022,Ath Bilbao,Almeria,4,0,H
01/10/2022,Cadiz,Villarreal,0,0,D
01/10/2022,Getafe,Valladolid,2,3,A
01/10/2022,Sevilla,Ath Madrid,0,2,A
01/10/2022,Mallorca,Barcelona,0,1,A
02/10/2022,Espanol,Valencia,2,2,D
02/10/2022,Celta,Betis,1,0,H
02/10/2022,Girona,Sociedad,3,5,A
02/10/2022,Real Madrid,Osasuna,1,1,D
03/10/2022,Vallecano,Elche,2,1,H
07/10/2022,Osasuna,Valencia,1,2,A
08/10/2022,Almeria,Vallecano,3,1,H
08/10/2022,Ath Madrid,Girona,2,1,H
08/10/2022,Sevilla,Ath Bilbao,1,1,D
08/10/2022,Getafe,Real Madrid,0,1,A
09/10/2022,Valladolid,Betis,0,0,D
09/10/2022,Cadiz,Espanol,2,2,D
09/10/2022,Sociedad,Villarreal,1,0,H
09/10/2022,Barcelona,Celta,1,0,H
10/10/2022,Elche,Mallorca,1,1,D
14/10/2022,Vallecano,Getafe,0,0,D
15/10/2022,Girona,Cadiz,1,1,D
15/10/2022,Valencia,Elche,2,2,D
15/10/2022,Mallorca,Sevilla,0,1,A
15/10/2022,Ath Bilbao,Ath Madrid,0,1,A
16/10/2022,Celta,Sociedad,1,2,A
16/10/2022,Real Madrid,Barcelona,3,1,H
16/10/2022,Espanol,Valladolid,1,0,H
16/10/2022,Betis,Almeria,3,1,H
17/10/2022,Villarreal,Osasuna,2,0,H
18/10/2022,Sevilla,Valencia,1,1,D
